id,name,code,code_name,division_type,short_code_name,order,is_usable,master_province_id
656,Huyện An Minh,909,huyen_an_minh,huyện,an_minh,909,true,58
657,Huyện Vĩnh Thuận,910,huyen_vinh_thuan,huyện,vinh_thuan,910,true,58
658,Thành phố Phú Quốc,911,thanh_pho_phu_quoc,thành phố,phu_quoc,911,true,58
659,Huyện Kiên Hải,912,huyen_kien_hai,huyện,kien_hai,912,true,58
660,Huyện U Minh Thượng,913,huyen_u_minh_thuong,huyện,u_minh_thuong,913,true,58
661,Huyện Giang Thành,914,huyen_giang_thanh,huyện,giang_thanh,914,true,58
662,Quận Ninh Kiều,916,quan_ninh_kieu,quận,ninh_kieu,916,true,59
663,Quận Ô Môn,917,quan_o_mon,quận,o_mon,917,true,59
664,Quận Bình Thuỷ,918,quan_binh_thuy,quận,binh_thuy,918,true,59
665,Quận Cái Răng,919,quan_cai_rang,quận,cai_rang,919,true,59
666,Quận Thốt Nốt,923,quan_thot_not,quận,thot_not,923,true,59
667,Huyện Vĩnh Thạnh,924,huyen_vinh_thanh,huyện,vinh_thanh,924,true,59
668,Huyện Cờ Đỏ,925,huyen_co_do,huyện,co_do,925,true,59
669,Huyện Phong Điền,926,huyen_phong_dien,huyện,phong_dien,926,true,59
670,Huyện Thới Lai,927,huyen_thoi_lai,huyện,thoi_lai,927,true,59
671,Thành phố Vị Thanh,930,thanh_pho_vi_thanh,thành phố,vi_thanh,930,true,60
672,Thành phố Ngã Bảy,931,thanh_pho_nga_bay,thành phố,nga_bay,931,true,60
673,Huyện Châu Thành A,932,huyen_chau_thanh_a,huyện,chau_thanh_a,932,true,60
674,Huyện Châu Thành,933,huyen_chau_thanh,huyện,chau_thanh,933,true,60
675,Huyện Phụng Hiệp,934,huyen_phung_hiep,huyện,phung_hiep,934,true,60
676,Huyện Vị Thuỷ,935,huyen_vi_thuy,huyện,vi_thuy,935,true,60
677,Huyện Long Mỹ,936,huyen_long_my,huyện,huyen_long_my,936,true,60
678,Thị xã Long Mỹ,937,thi_xa_long_my,thị xã,long_my,937,true,60
679,Thành phố Sóc Trăng,941,thanh_pho_soc_trang,thành phố,soc_trang,941,true,61
680,Huyện Châu Thành,942,huyen_chau_thanh,huyện,chau_thanh,942,true,61
681,Huyện Kế Sách,943,huyen_ke_sach,huyện,ke_sach,943,true,61
682,Huyện Mỹ Tú,944,huyen_my_tu,huyện,my_tu,944,true,61
